species_id,avilist_common_name,scientific_name
17622,Swallow Flycatcher,Hirundinea bellicosa
17748,Cordilleran Flycatcher,Empidonax occidentalis
17764,Vermilion Flycatcher,Pyrocephalus obscurus
17777,Least Vermilion Flycatcher,Pyrocephalus dubius
17781,Little Ground-tyrant,Muscisaxicola fluviatilis
17800,Chestnut-naped Ground-tyrant,Muscisaxicola occipitalis
17824,White-rumped Black-tyrant,Knipolegus heterogyna
17838,Sclater's Black-tyrant,Knipolegus sclateri
17850,Rufous-webbed Bush-tyrant,Polioxolmis rufipennis
17857,Fire-eyed Diucon,Xolmis pyrope
17860,Grey Monjita,Xolmis cinereus
17863,Black-crowned Monjita,Xolmis coronatus
17864,Rusty-backed Monjita,Xolmis rubetra
17865,Salinas Monjita,Xolmis salinarum
17905,Black-and-white Monjita,Xolmis dominicanus
17913,Kalinowski's Chat-Tyrant,Silvicultrix spodionota
18038,Southern Streaked Flycatcher,Myiodynastes solitarius
18051,Crowned Slaty Flycatcher,Griseotyrannus aurantioatrocristatus
18187,Flammulated Flycatcher,Deltarhynchus flammulatus
18218,Scaly-breasted Fruiteater,Pipreola squamipectus
18273,Apolo Cotinga,Phibalura boliviana
18335,Serra do Mar Tyrant-manakin,Neopelma chrysolophum
18354,Araripe Manakin,Antilophia bokermanni
18355,Helmeted Manakin,Antilophia galeata
18501,Eastern Black-tailed Tityra,Tityra braziliensis
18565,Green-cheeked Becard,Pachyramphus griseigularis
18568,Yellow-cheeked Becard,Pachyramphus xanthogenys
18610,Western Grey-collared Becard,Pachyramphus uropygialis
18650,Northern Royal Flycatcher,Onychorhynchus mexicanus
18653,Pacific Royal Flycatcher,Onychorhynchus occidentalis
18709,Huon Catbird,Ailuroedus astigmaticus
18711,Black-capped Catbird,Ailuroedus melanocephalus
18713,Northern Catbird,Ailuroedus jobiensis
18716,Arfak Catbird,Ailuroedus arfakianus
18736,Huon Bowerbird,Amblyornis germanus
19306,White-quilled Honeyeater,Entomyzon albipennis
19313,Golden-backed Honeyeater,Melithreptus laetior
